objid,ra,dec,u,g,r,i,z,class
1237661949170614275,161.133268261641,11.018244116317,17.88599,17.45346,17.03807,16.73457,16.75059,QSO
1237659330848162048,238.713050344118,46.3214979916829,18.82266,18.05584,17.32469,16.80214,16.57061,QSO
1237659330850062729,243.081954807502,43.2663655816917,19.12561,18.39189,17.70278,17.22489,17.08475,QSO
1237659887045509184,5.10047995673227,33.7854505985894,19.40021,17.50032,16.62815,16.12499,15.8301,QSO
1237659895636885622,261.38782118808,57.2793139902063,18.2649,17.30063,16.64797,16.16409,15.95294,QSO
1237661949182017589,187.804702112527,12.0520098957305,17.72783,17.20923,16.66371,16.22748,16.02677,QSO
1237659896711545239,263.846270535453,55.4346063453498,19.19396,18.59963,17.90534,17.47791,17.24504,QSO
1237659897246580848,262.589264383243,59.6398881489615,16.19606,14.63101,13.83127,13.40107,13.06325,QSO
1237661949194403857,216.535740135644,10.0730767534324,18.92081,17.66386,16.91185,16.42196,16.12931,QSO
1237659897246908755,263.055667487857,58.8985100797269,19.2047,18.3199,17.75872,17.47272,17.35668,QSO
1237659931612021553,16.172236893171,46.4639149433212,19.14284,18.9031,18.43116,18.0196,17.91444,QSO
1237660024495079446,340.120236310563,-1.11386941334694,17.44897,17.21678,16.92686,16.56852,16.5015,QSO
1237660241924391067,50.2008143688482,0.860511828634207,18.09339,16.81778,16.06477,15.63147,15.34874,QSO
1237660241924522032,50.5579182057115,0.920401692109829,17.1025,16.81277,16.57467,16.11003,16.30998,QSO
1237660241924522168,50.6130895412929,0.901283339019554,19.15034,18.97826,18.48954,18.01397,17.96334,QSO
1237661949716463703,182.070196599226,12.4215460538446,18.03738,17.33688,16.68906,16.26297,16.0196,QSO
1237661949725573296,203.44257428427,11.7847692314258,19.3749,18.16358,17.47306,17.03627,16.81197,QSO
1237661949725835406,203.997128781519,11.7819658949543,18.47174,17.72065,16.98256,16.55359,16.30693,QSO
1237661949726818492,206.215424017034,11.5435563564402,18.55361,16.75869,15.75913,15.22396,14.89793,QSO
1237661950244421703,161.267642579165,11.7524429768116,17.60032,16.56125,16.00594,15.60333,15.36027,QSO
1237660342863986754,148.661607872572,40.5345261930238,19.05852,18.55914,18.25444,17.74385,17.8323,QSO
1237660343398891590,143.261190706831,38.8744528348778,17.48424,17.10142,16.76629,16.43126,16.35466,QSO
1237660343400398852,147.160088534376,40.5121436591627,16.53479,15.4933,14.89561,14.50296,14.20291,QSO
1237660343925997758,121.445716500603,26.0924937987395,17.94385,16.95121,16.32012,15.88718,15.69802,QSO
1237661950279287053,242.131542250924,7.13839615140978,19.03946,18.22264,17.54564,17.06853,16.89323,QSO
1237661950779785309,157.794017338426,11.8882548037959,19.12483,17.54542,16.63384,16.13184,15.83211,QSO
